function	ERR10889056-short-paired	ERR10889056-short-single
PF00005.33	0.233577	0.708029
PF00070.33	0	0.54878
PF00108.29	0.142308	0
PF00122.25	0.209945	0
PF00126.33	0	0.65
PF00152.25	0	0.12987
PF00180.25	0.112069	0
PF00204.31	0	0.179191
PF00213.23	0	0.238372
PF00253.27	0	0.574074
PF00271.37	0.336364	0
PF00324.27	0.0851064	0
PF00343.26	0.0532959	0
PF00359.27	0.284722	0
PF00378.25	0	0.151394
PF00398.26	0	0.148289
PF00408.26	0.573529	0
PF00464.25	0.0977444	0
PF00512.31	0	0.409091
PF00533.33	0.525641	0
PF00535.33	0.244048	0
PF00574.28	0.137363	0
PF00578.27	0	0.314516
PF00689.26	0.234286	0
PF00724.26	0.116959	0
PF00728.28	0	0.112069
PF00860.26	0.100257	0
PF00872.24	0.200528	0
PF00905.27	0	0.110368
PF00912.28	0.224719	0
PF01043.26	0	0.363636
PF01084.26	0.365385	0
PF01098.24	0.109551	0
PF01180.27	0	0.0962199
PF01205.25	0	0.364486
PF01411.24	0.0652174	0
PF01470.22	0.191176	0
PF01471.23	0.631579	0
PF01546.33	0	0.179612
PF01553.26	0	0.318182
PF01645.23	0	0.108401
PF01668.23	0.272727	0
PF01695.23	0	0.168067
PF01704.24	0	0.0895884
PF01841.26	0	0.407407
PF01923.23	0.222222	0
PF02021.23	0	0.4375
PF02163.28	0.0995475	0
PF02275.23	0.120253	0.0981013
PF02308.21	0	0.289256
PF02350.25	0.112392	0
PF02467.21	0.415385	0
PF02518.31	0	0.369369
PF02540.23	0	0.214876
PF02563.21	0	0.467532
PF02664.20	0.194805	0
PF02746.21	0	0.222222
PF02867.20	0	0.0707457
PF02878.22	0	0.26087
PF02899.23	0	0.445783
PF02978.25	0.615385	0.428571
PF03051.21	0	0.0799087
PF03611.19	0.0939086	0
PF03960.21	0	0.455696
PF03989.18	0.666667	0
PF04326.19	0.330508	0
PF04542.20	0	0.56338
PF04551.19	0.113703	0
PF04607.23	0	0.353982
PF04851.21	0	0.231707
PF05272.17	0	0.175115
PF05496.18	0.251572	0
PF05662.19	0	0.604651
PF05895.17	0.0638978	0
PF06026.20	0.225434	0
PF06325.19	0.128378	0
PF06429.18	0.73913	0
PF06723.19	0	0.119266
PF06725.17	0.444444	0
PF08238.18	0	1.05556
PF08348.17	0	0.330435
PF08757.17	0.114907	0
PF09314.17	0.215054	0
PF09820.16	0.174129	0
PF10396.14	0.264957	0
PF10566.15	0.141818	0
PF11987.13	0	0.333333
PF12344.14	0.534884	0
PF12836.13	0.6	0
PF12972.12	0.145522	0
PF12987.12	0.122642	0
PF13208.11	0.173913	0
PF13361.12	0.108571	0
PF13377.12	0.233533	0
PF13440.11	0	0.133106
PF13614.12	0	0.186441
PF14059.11	0.285714	0
PF14322.12	0	0.198953
PF14437.12	0	0.274648
PF14535.12	0.416667	0
PF14698.11	0	0.565217
PF16363.11	0.114458	0
PF17132.9	0	0.051144
PF17293.8	0.344828	0
PF17827.6	0	0.394366
PF19127.6	0.744681	0
PF19513.4	0.205263	0
PF19838.5	0.0818966	0
PF20979.2	0	0.182648
PF21205.3	0.508475	0
PF22042.2	0	0.452381
PF22124.2	0.0784314	0
PF22505.1	0	0.261905
PF25591.1	0.491803	0
