taxonomy	ERR10889056-short-paired	ERR10889056-short-single
sk__Bacteria;k__;p__Actinomycetota	1	0
sk__Bacteria;k__;p__Actinomycetota;c__Actinomycetes	1	0
sk__Bacteria;k__;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales	1	1
sk__Bacteria;k__;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	17	10
sk__Bacteria;k__;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve	1	1
sk__Bacteria;k__;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum	3	2
sk__Bacteria;k__;p__Bacillota	2	2
sk__Bacteria;k__;p__Bacillota;c__Bacilli	1	0
sk__Bacteria;k__;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	1	0
sk__Bacteria;k__;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	2	1
sk__Bacteria;k__;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae	3	0
sk__Bacteria;k__;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes	1	0
sk__Bacteria;k__;p__Bacillota;c__Erysipelotrichia	2	2
sk__Bacteria;k__;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	2	2
sk__Bacteria;k__;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	1	0
sk__Bacteria;k__;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales	2	1
sk__Bacteria;k__;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	2	1
